,Country/Region,Province/State,MapTo,Latitude,Longitude
130,Iceland,,Iceland,64.9631,-19.0208
131,India,,India,20.5937,78.9629
132,Indonesia,,Indonesia,-0.7893,113.9213
133,Iran,,Iran,32,53
134,Iran (Islamic Republic of),,Iran,32,53
135,Iraq,None,Iraq,33.3152,44.3661
136,Iraq,,Iraq,33,44
137,Ireland,,Ireland,53.1424,-7.6921
138,Israel,From Diamond Princess,Israel,31.768,35.2137
139,Israel,,Israel,31,35
140,Italy,,Italy,41.8719,12.5674
141,Ivory Coast,,Ivory Coast,7.54,5.5471
142,Jamaica,,Jamaica,18.1096,-77.2975
143,Japan,,Japan,36,138
144,Jersey,,Jersey,49.19,-2.11
145,Jordan,,Jordan,30.5852,36.2384
146,Kazakhstan,,Kazakhstan,48.0196,66.9237
147,Kenya,,Kenya,-0.0236,37.9062
148,"Korea, South",,Skorea,35.9078,127.7669
149,Kuwait,,Kuwait,29.3117,47.4818
150,Latvia,,Latvia,56.8796,24.6032
151,Lebanon,None,Lebanon,33.8938,35.5018
152,Lebanon,,Lebanon,33.8547,35.8623
153,Liechtenstein,,Liechtenstein,47.14,9.55
154,Lithuania,,Lithuania,55.1694,23.8813
155,Luxembourg,,Luxembourg,49.8144,6.1317
156,Macao SAR,Macau,Macao SAR,22.1667,113.55
157,Macau,Macau,Macau,22.1667,113.55
158,Mainland China,Anhui,China,31.8257,117.2264
159,Mainland China,Beijing,China,40.1824,116.4142
160,Mainland China,Chongqing,China,30.0572,107.874
161,Mainland China,Fujian,China,26.0789,117.9874
162,Mainland China,Gansu,China,36.0611,103.8343
163,Mainland China,Guangdong,China,23.3417,113.4244
164,Mainland China,Guangxi,China,23.8298,108.7881
165,Mainland China,Guizhou,China,26.8154,106.8748
166,Mainland China,Hainan,China,19.1959,109.7453
167,Mainland China,Hebei,China,38.0428,114.5149
168,Mainland China,Heilongjiang,China,47.862,127.7615
169,Mainland China,Henan,China,33.882,113.614
170,Mainland China,Hubei,China,30.9756,112.2707
171,Mainland China,Hunan,China,27.6104,111.7088
172,Mainland China,Inner Mongolia,China,44.0935,113.9448
173,Mainland China,Jiangsu,China,32.9711,119.455
174,Mainland China,Jiangxi,China,27.614,115.7221
175,Mainland China,Jilin,China,43.6661,126.1923
176,Mainland China,Liaoning,China,41.2956,122.6085
177,Mainland China,Ningxia,China,37.2692,106.1655
178,Mainland China,Qinghai,China,35.7452,95.9956
179,Mainland China,Shaanxi,China,35.1917,108.8701
180,Mainland China,Shandong,China,36.3427,118.1498
181,Mainland China,Shanghai,China,31.202,121.4491
182,Mainland China,Shanxi,China,37.5777,112.2922
183,Mainland China,Sichuan,China,30.6171,102.7103
184,Mainland China,Tianjin,China,39.3054,117.323
185,Mainland China,Tibet,China,31.6927,88.0924
186,Mainland China,Xinjiang,China,41.1129,85.2401
187,Mainland China,Yunnan,China,24.974,101.487
188,Mainland China,Zhejiang,China,29.1832,120.0934
189,Malaysia,,Malaysia,2.5,112.5
190,Maldives,,Maldives,3.2028,73.2207
191,Malta,,Malta,35.9375,14.3754
192,Martinique,,Martinique,14.6415,-61.0242
193,Mauritania,,Mauritania,21.0079,-10.9408
194,Mexico,,Mexico,23,-102
195,Moldova,,Moldova,47.4116,28.3699
196,Monaco,,Monaco,43.7333,7.4167
197,Mongolia,,Mongolia,46.8625,103.8467
198,Morocco,,Morocco,31.7917,-7.0926
199,Namibia,,Namibia,-22.9576,18.4904
200,Nepal,,Nepal,28.1667,84.25
201,Netherlands,,Netherlands,52.1326,5.2913
202,New Zealand,,New Zealand,-40.9006,174.886
203,Nigeria,,Nigeria,9.082,8.6753
204,North Ireland,,North Ireland,54.5973,5.9301
205,North Macedonia,,North Macedonia,41.6086,21.7453
206,Norway,,Norway,60.472,8.4689
207,occupied Palestinian territory,,occupied Palestinian territory,31.9522,35.2332
208,Oman,,Oman,21,57
209,Others,Cruise Ship,Others,#N/A,#N/A
210,Others,Diamond Princess cruise ship,Others,35.4437,139.638
211,Pakistan,,Pakistan,30.3753,69.3451
212,Palestine,,Palestine,31.9522,35.2332
213,Panama,,Panama,8.538,-80.7821
214,Paraguay,,Paraguay,-23.4425,-58.4438
215,Peru,,Peru,-9.19,-75.0152
216,Philippines,,Philippines,12.8797,121.774
217,Poland,,Poland,51.9194,19.1451
218,Portugal,,Portugal,39.3999,-8.2245
219,Qatar,,Qatar,25.3548,51.1839
220,Republic of Ireland,,Republic of Ireland,53.1424,-7.6921
221,Republic of Korea,,Republic of Korea,36,128
222,Republic of Moldova,,Republic of Moldova,47.4116,28.3699
223,Reunion,,Reunion,-21.1151,55.5364
224,Romania,,Romania,45.9432,24.9668
225,Russia,,Russia,60,90
226,Russian Federation,,Russian Federation,60,90
227,Rwanda,,Rwanda,-1.9403,29.8739
228,Saint Barthelemy,,Saint Barthelemy,17.9,-62.8333
229,Saint Lucia,,Saint Lucia,13.9094,-60.9789
230,Saint Martin,,Saint Martin,18.0708,-63.0501
231,Saint Vincent and the Grenadines,,SV&Grenadines,12.9843,-61.2872
232,San Marino,,San Marino,43.9424,12.4578
233,Saudi Arabia,,Saudi Arabia,23.8859,45.0792
234,Senegal,,Senegal,14.4974,-14.4524
235,Serbia,,Serbia,44.0165,21.0059
236,Seychelles,,Seychelles,-4.6796,55.492
237,Singapore,,Singapore,1.2833,103.8333
238,Slovakia,,Slovakia,48.669,19.699
239,Slovenia,,Slovenia,46.1512,14.9955
240,South Africa,,South Africa,-30.5595,22.9375
241,South Korea,,Skorea,36,128
242,Spain,,Spain,40,-4
243,Sri Lanka,,Sri Lanka,7,81
244,St. Martin,,St. Martin,18.0708,-63.0501
245,Sudan,,Sudan,12.8628,30.2176
246,Suriname,,Suriname,3.9193,-56.0278
247,Sweden,,Sweden,60.1282,18.6435
248,Switzerland,,Switzerland,46.8182,8.2275
249,Taipei and environs,Taiwan,Taipei and environs,23.7,121
250,Taiwan,Taiwan,Taiwan,23.7,121
251,Taiwan*,,Taiwan,23.7,121
252,Thailand,,Thailand,15,101
253,Togo,,Togo,8.6195,0.8248
254,Trinidad and Tobago,,Trinidad and Tobago,10.6918,-61.2225
255,Tunisia,,Tunisia,33.8869,9.5375
256,Turkey,,Turkey,38.9637,35.2433
257,UK,,UK,55,-3
258,Ukraine,,Ukraine,48.3794,31.1656
259,United Arab Emirates,,United Arab Emirates,23.4241,53.8478
260,United Kingdom,Channel Islands,United Kingdom,49.372284,-2.364351
261,United Kingdom,Gibraltar,United Kingdom,36.1408,-5.3536
262,United Kingdom,UK,United Kingdom,55.3781,-3.436
263,United Kingdom,United Kingdom,United Kingdom,55.3781,-3.436
264,Uruguay,,Uruguay,-32.5228,-55.7658
265,US, Norfolk County,MA,42.1767,-71.1449
266,US,Alabama,AL,32.3182,-86.9023
267,US,Alameda County,CA,37.6017,-121.7195
268,US,Alaska,AK,61.3707,-152.4044
269,US,Arizona,AZ,33.729759,-111.431221
270,US,Arkansas,AK,34.9697,-92.3731
271,US,Ashland,NE,41.0393,-96.3683
272,US,Bennington County,VT,43.0279,-73.135
273,US,Bergen County,NJ,40.9263,-74.077
274,US,Berkeley,CA,37.8715,-122.273
275,US,Berkshire County,MA,42.3118,-73.1822
276,US,Boston,MA,42.3601,-71.0589
277,US,Broward County,FL,26.1901,-80.3659
278,US,California,CA,36.1162,-119.6816
279,US,Carver County,MN,44.8254,-93.7842
280,US,Charleston County,SC,32.7957,-79.7848
281,US,Charlotte County,FL,26.8946,-81.9098
282,US,Chatham County,NC,35.7211,-79.1781
283,US,Cherokee County,GA,34.2515,-84.4803
284,US,Chicago,IL,41.8781,-87.6298
285,US,Chicago,IL,41.8781,-87.6298
286,US,Clark County,NV,36.0796,-115.094
287,US,Clark County,WA,45.7466,-122.5194
288,US,Cobb County,GA,33.8999,-84.5641
289,US,Collin County,TX,33.1795,-96.493
290,US,Colorado,CO,39.0598,-105.3111
291,US,Connecticut,CN,41.597782,-72.755371
292,US,Contra Costa County,CA,37.8534,-121.9018
293,US,Cook County,IL,41.7377,-87.6976
294,US,Davidson County,TN,36.1343,-86.822
295,US,Davis County,UT,40.9629,-112.0953
296,US,Delaware,DE,39.3185,-75.5071
297,US,Delaware County,PA,39.9078,-75.3879
298,US,Denver County,CO,39.7392,-104.9903
299,US,Diamond Princess,CruiseShip,35.4437,139.638
300,US,District of Columbia,DC,38.8974,-77.0268
301,US,Douglas County,CA,39.2587,-104.9389
302,US,Douglas County,NA,41.3148,-96.1951
303,US,Douglas County,OR,43.1261,-123.2492
304,US,El Paso County,CO,38.9108,-104.4723
305,US,Fairfax County,VA,38.9085,-77.2405
306,US,Fairfield County,CT,41.256,-73.3709
307,US,Fayette County,KY,38.0606,-84.4803
308,US,Florida,FL,27.766279,-81.686783
309,US,Floyd County,GA,34.2829,-85.2308
310,US,Fort Bend County,TX,29.5693,-95.8143
311,US,Fresno County,CA,36.9859,-119.2321
312,US,Fulton County,GA,33.8034,-84.3963
313,US,Georgia,GA,33.0406,-83.6431
314,US,Grafton County,NH,43.9088,-71.826
315,US,Grand Princess,CruiseShip,37.6489,-122.6655
316,US,Grand Princess Cruise Ship,CruiseShip,37.6489,-122.6655
317,US,Grant County,WA,47.1981,-119.3732
318,US,Harford County,MD,39.5839,-76.3637
319,US,Harris County,TX,29.7752,-95.3103
320,US,Harrison County,KY,38.4333,-84.3542
321,US,Hawaii,HI,21.0943,-157.4983
322,US,Hendricks County,IN,39.8065,-86.5401
323,US,Hillsborough,FL,27.9904,-82.3018
324,US,Honolulu County,HI,21.307,-157.8584
325,US,Hudson County,NJ,40.7453,-74.0535
326,US,Humboldt County,CA,40.745,-123.8695
327,US,Idaho,ID,44.240459,-114.478828
328,US,Illinois,IL,40.349457,-88.986137
329,US,Indiana,IN,39.8494,-86.2583
330,US,Iowa,IA,42.0115,-93.2105
331,US,Jackson County,OR,42.3345,-122.7647
332,US,Jefferson County,KY,38.1938,-85.6435
333,US,Jefferson County,WA,47.7425,-123.304
334,US,Jefferson Parish,LA,29.6499,-90.1121
335,US,Johnson County,IA,41.6699,-91.5984
336,US,Johnson County,KS,38.8454,-94.8521
337,US,Kansas,KS,38.5266,-96.7265
338,US,Kentucky,KY,37.6681,-84.6701
339,US,Kershaw County,SC,34.3672,-80.5883
340,US,King County,WA,47.548,-121.9836
341,US,Kittitas County,WA,47.175,-120.9319
342,US,Klamath County,OR,42.6953,-121.6142
343,US,Lackland,TX,29.3878,-98.6205
344,US,Lackland,TX,29.3878,-98.6205
345,US,Lee County,FL,26.663,-81.9535
346,US,Los Angeles,,34.0522,-118.2437
347,US,Louisiana,LA,31.1695,-91.8678
348,US,Madera County,CA,37.2519,-119.6963
349,US,Madison,WI,43.0731,-89.4012
350,US,Maine,ME,44.6939,-69.3819
351,US,Manatee County,FL,27.4799,-82.3452
352,US,Maricopa County,AZ,33.2918,-112.4291
353,US,Marion County,IN,39.8362,-86.1752
354,US,Marion County,OR,44.8446,-122.5927
355,US,Maryland,MD,39.0639,-76.8021
356,US,Massachusetts,MA,42.230171,-71.530106
357,US,Michigan,MI,43.3266,-84.5361
358,US,Middlesex County,MA,41.912,-70.7168
359,US,Minnesota,MN,45.694454,-93.900192
360,US,Mississippi,MS,32.7416,-89.6787
361,US,Missouri,MO,38.456085,-92.288368
362,US,Montana,MT,46.9219,-110.4544
363,US,Montgomery County,MD,39.1547,-77.2405
364,US,Montgomery County,PA,40.229,-75.3879
365,US,Montgomery County,TX,30.3213,-95.4778
366,US,Nassau County,NY,40.6546,-73.5594
367,US,Nebraska,NE,41.12537,-98.268082
368,US,Nevada,NV,38.3135,-117.0554
369,US,New Hampshire,NH,43.452492,-71.563896
370,US,New Jersey,NJ,40.2989,-74.521
371,US,New Mexico,NM,34.8405,-106.2485
372,US,New York,NY,42.1657,-74.9481
373,US,New York City,NY,40.7128,-74.006
374,US,New York County,NY,40.7128,-74.006
375,US,Norfolk County,MA,42.1767,-71.1449
376,US,North Carolina,NC,35.630066,-79.806419
377,US,North Dakota,ND,47.5289,-99.784
378,US,Norwell County,MA,42.1615,-70.7928
379,US,Ohio,OH,40.388783,-82.764915
380,US,Okaloosa County,FL,30.5773,-86.6611
381,US,Oklahoma,OK,35.5653,-96.9289
382,US,Omaha,NE,41.2545,-95.9758
383,US,Orange County,CA,33.7879,-117.8531
384,US,Orange,CA,33.7879,-117.8531
385,US,Oregon,OR,44.572,-122.0709
386,US,Pennsylvania,PA,40.590752,-77.209755
387,US,Pierce County,WA,47.0676,-122.1295
388,US,Pinal County,AZ,32.8162,-111.2845
389,US,Placer County,CA,39.0916,-120.8039
390,US,Plymouth County,MA,42.1615,-70.7928
391,US,Polk County,GA,34.0132,-85.1479
392,US,Portland,OR,45.5051,-122.675
393,US,Providence County,RI,41.8882,-71.4774
394,US,Providence,RI,41.824,-71.4128
395,US,Puerto Rico,PR,18.2208,-66.5901
396,US,Queens County,NY,40.7282,-73.7949
397,US,Ramsey County,MN,44.9964,-93.0616
398,US,Rhode Island,RI,41.680893,-71.51178
399,US,Riverside County,CA,33.9533,-117.3961
400,US,Rockingham County,NH,42.9931,-71.0498
401,US,Rockland County,NY,41.1489,-73.983
402,US,Sacramento County,CA,38.4747,-121.3542
403,US,San Antonio,TX,29.4241,-98.4936
404,US,San Benito,CA,36.5761,-120.9876
405,US,San Diego County,CA,32.7157,-117.1611
406,US,San Francisco County,CA,37.7749,-122.4194
407,US,San Mateo,CA,37.563,-122.3255
408,US,Santa Clara County,CA,37.3541,-121.9552
409,US,Santa Clara,CA,37.3541,-121.9552
410,US,Santa Cruz County,CA,36.9741,-122.0308
411,US,Santa Rosa County,FL,30.769,-86.9824
412,US,Sarasota,FL,27.3364,-82.5307
413,US,Saratoga County,NY,43.0324,-73.936
414,US,Seattle,WA,47.6062,-122.3321
415,US,Shasta County,CA,40.7909,-121.8474
416,US,Shelby County,TN,35.1269,-89.9253
417,US,Snohomish County,WA,48.033,-121.8339
418,US,Sonoma County,CA,38.578,-122.9888
419,US,South Carolina,SC,33.856892,-80.945007
420,US,South Dakota,SD,44.299782,-99.438828
421,US,Spartanburg County,SC,34.8606,-81.9535
422,US,Spokane County,WA,47.6587,-117.4225
423,US,St. Louis County,MO,38.6103,-90.4125
424,US,Suffolk County,MA,42.3601,-71.0589
425,US,Suffolk County,NY,40.9849,-72.6151
426,US,Summit County,CO,39.5912,-106.064
427,US,Tempe,AZ,33.4255,-111.94
428,US,Tennessee,TN,35.7478,-86.6923
429,US,Texas,TX,31.054487,-97.563461
430,US,Travis,CA,38.2721,-121.9399
431,US,Travis,CA,38.2721,-121.9399
432,US,Tulsa County,OK,36.1593,-95.941
433,US,Ulster County,NY,41.8586,-74.3118
434,US,Umatilla,OR,45.775,-118.7606
435,US,Unassigned Location (From Diamond Princess),CruiseShip,35.4437,139.638
436,US,Unassigned Location,VT,44.3378,-72.7563
437,US,Unassigned Location,WA,47.7511,-120.7401
438,US,Unknown Location,MA,42.4072,-71.3824
439,US,Utah,UT,40.15,-111.8624
440,US,Vermont,VT,44.045876,-72.710686
441,US,Virgin Islands,Visl,18.3358,-64.8963
442,US,Virginia,VA,37.7693,-78.17
443,US,Volusia County,FL,29.028,-81.0755
444,US,Wake County,NC,35.8032,-78.5661
445,US,Washington,WA,47.4009,-121.4905
446,US,Washington County,OR,45.547,-123.1386
447,US,Washington,DC,38.9072,-77.0369
448,US,Washoe County,NV,40.5608,-119.6035
449,US,Wayne County,PA,41.6739,-75.2479
450,US,West Virginia,WV,38.4912,-80.9545
451,US,Westchester County,NY,41.122,-73.7949
452,US,Williamson County,TN,35.9179,-86.8622
453,US,Wisconsin,WI,44.2685,-89.6165
454,US,Wyoming,WY,42.755966,-107.30249
455,US,Yolo County,CA,38.7646,-121.9018
456,US,Guam,GU,13.4443,144.7937
457,US,Virgin Islands,VI,18.3358,-64.8963
458,US,US,US,37.0902,-95.7129
459,US,United States Virgin Islands,VI,18.35,-64.933
460,Vatican City,,Vatican City,41.9029,12.4534
461,Venezuela,,Venezuela,6.4238,-66.5897
462,Viet Nam,,Viet Nam,16,108
463,Vietnam,,Vietnam,14.0583,108.2772
464,US," Norfolk County, MA",MA,42.1767,-71.1449
465,US,Alabama,AL,32.3182,-86.9023
466,US,"Alameda County, CA",CA,37.6017,-121.7195
467,US,Alaska,AK,61.3707,-152.4044
468,US,Arizona,AZ,33.729759,-111.431221
469,US,Arkansas,AK,34.9697,-92.3731
470,US,"Ashland, NE",NE,41.0393,-96.3683
471,US,"Bennington County, VT",VT,43.0279,-73.135
472,US,"Bergen County, NJ",NJ,40.9263,-74.077
473,US,"Berkeley, CA",CA,37.8715,-122.273
474,US,"Berkshire County, MA",MA,42.3118,-73.1822
475,US,"Boston, MA",MA,42.3601,-71.0589
476,US,"Broward County, FL",FL,26.1901,-80.3659
477,US,California,CA,36.1162,-119.6816
478,US,"Carver County, MN",MN,44.8254,-93.7842
479,US,"Charleston County, SC",SC,32.7957,-79.7848
480,US,"Charlotte County, FL",FL,26.8946,-81.9098
481,US,"Chatham County, NC",NC,35.7211,-79.1781
482,US,"Cherokee County, GA",GA,34.2515,-84.4803
483,US,Chicago,IL,41.8781,-87.6298
484,US,"Chicago, IL",IL,41.8781,-87.6298
485,US,"Clark County, NV",NV,36.0796,-115.094
486,US,"Clark County, WA",WA,45.7466,-122.5194
487,US,"Cobb County, GA",GA,33.8999,-84.5641
488,US,"Collin County, TX",TX,33.1795,-96.493
489,US,Colorado,CO,39.0598,-105.3111
490,US,Connecticut,CN,41.597782,-72.755371
491,US,"Contra Costa County, CA",CA,37.8534,-121.9018
492,US,"Cook County, IL",IL,41.7377,-87.6976
493,US,"Davidson County, TN",TN,36.1343,-86.822
494,US,"Davis County, UT",UT,40.9629,-112.0953
495,US,Delaware,DE,39.3185,-75.5071
496,US,"Delaware County, PA",PA,39.9078,-75.3879
497,US,"Denver County, CO",CO,39.7392,-104.9903
498,US,Diamond Princess,CruiseShip,35.4437,139.638
499,US,District of Columbia,DC,38.8974,-77.0268
500,US,"Douglas County, CO",CA,39.2587,-104.9389
501,US,"Douglas County, NE",NA,41.3148,-96.1951
502,US,"Douglas County, OR",OR,43.1261,-123.2492
503,US,"El Paso County, CO",CO,38.9108,-104.4723
504,US,"Fairfax County, VA",VA,38.9085,-77.2405
505,US,"Fairfield County, CT",CT,41.256,-73.3709
506,US,"Fayette County, KY",KY,38.0606,-84.4803
507,US,Florida,FL,27.766279,-81.686783
508,US,"Floyd County, GA",GA,34.2829,-85.2308
509,US,"Fort Bend County, TX",TX,29.5693,-95.8143
510,US,"Fresno County, CA",CA,36.9859,-119.2321
511,US,"Fulton County, GA",GA,33.8034,-84.3963
512,US,Georgia,GA,33.0406,-83.6431
513,US,"Grafton County, NH",NH,43.9088,-71.826
514,US,Grand Princess,CruiseShip,37.6489,-122.6655
515,US,Grand Princess Cruise Ship,CruiseShip,37.6489,-122.6655
516,US,"Grant County, WA",WA,47.1981,-119.3732
517,US,"Harford County, MD",MD,39.5839,-76.3637
518,US,"Harris County, TX",TX,29.7752,-95.3103
519,US,"Harrison County, KY",KY,38.4333,-84.3542
520,US,Hawaii,HI,21.0943,-157.4983
521,US,"Hendricks County, IN",IN,39.8065,-86.5401
522,US,"Hillsborough, FL",FL,27.9904,-82.3018
523,US,"Honolulu County, HI",HI,21.307,-157.8584
524,US,"Hudson County, NJ",NJ,40.7453,-74.0535
525,US,"Humboldt County, CA",CA,40.745,-123.8695
526,US,Idaho,ID,44.240459,-114.478828
527,US,Illinois,IL,40.349457,-88.986137
528,US,Indiana,IN,39.8494,-86.2583
529,US,Iowa,IA,42.0115,-93.2105
530,US,"Jackson County, OR ",OR,42.3345,-122.7647
531,US,"Jefferson County, KY",KY,38.1938,-85.6435
532,US,"Jefferson County, WA",WA,47.7425,-123.304
533,US,"Jefferson Parish, LA",LA,29.6499,-90.1121
534,US,"Johnson County, IA",IA,41.6699,-91.5984
535,US,"Johnson County, KS",KS,38.8454,-94.8521
536,US,Kansas,KS,38.5266,-96.7265
537,US,Kentucky,KY,37.6681,-84.6701
538,US,"Kershaw County, SC",SC,34.3672,-80.5883
539,US,"King County, WA",WA,47.548,-121.9836
540,US,"Kittitas County, WA",WA,47.175,-120.9319
541,US,"Klamath County, OR",OR,42.6953,-121.6142
542,US,"Lackland, TX",TX,29.3878,-98.6205
543,US,"Lackland, TX (From Diamond Princess)",TX,29.3878,-98.6205
544,US,"Lee County, FL",FL,26.663,-81.9535
545,US,"Los Angeles, CA",,34.0522,-118.2437
546,US,Louisiana,LA,31.1695,-91.8678
547,US,"Madera County, CA",CA,37.2519,-119.6963
548,US,"Madison, WI",WI,43.0731,-89.4012
549,US,Maine,ME,44.6939,-69.3819
550,US,"Manatee County, FL",FL,27.4799,-82.3452
551,US,"Maricopa County, AZ",AZ,33.2918,-112.4291
552,US,"Marion County, IN",IN,39.8362,-86.1752
553,US,"Marion County, OR",OR,44.8446,-122.5927
554,US,Maryland,MD,39.0639,-76.8021
555,US,Massachusetts,MA,42.230171,-71.530106
556,US,Michigan,MI,43.3266,-84.5361
557,US,"Middlesex County, MA",MA,41.912,-70.7168
558,US,Minnesota,MN,45.694454,-93.900192
559,US,Mississippi,MS,32.7416,-89.6787
560,US,Missouri,MO,38.456085,-92.288368
561,US,Montana,MT,46.9219,-110.4544
562,US,"Montgomery County, MD",MD,39.1547,-77.2405
563,US,"Montgomery County, PA",PA,40.229,-75.3879
